polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=825/20260708_014802_00841_yxnpm-68996942-0d12-457c-b1ba-d446fb9266d4.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 3) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=680/20260708_014709_00689_yxnpm-f40b9606-1b3c-4f1f-93d3-0e1cd4244802.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=680/20260708_014709_00689_yxnpm-f40b9606-1b3c-4f1f-93d3-0e1cd4244802.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=678/20260708_014708_00687_yxnpm-8815ee53-896b-4c78-a4a5-19f68f870b02.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=678/20260708_014708_00687_yxnpm-8815ee53-896b-4c78-a4a5-19f68f870b02.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=676/20260708_014707_00685_yxnpm-f1fa5ff9-26c4-45f7-8767-85221ca2fe4e.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=676/20260708_014707_00685_yxnpm-f1fa5ff9-26c4-45f7-8767-85221ca2fe4e.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=707/20260708_014719_00716_yxnpm-3687c153-7dca-4f03-88c5-32ad2d047009.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=707/20260708_014719_00716_yxnpm-3687c153-7dca-4f03-88c5-32ad2d047009.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=713/20260708_014721_00722_yxnpm-b68752d4-9454-42ba-89d4-728f51c4c4c1.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=713/20260708_014721_00722_yxnpm-b68752d4-9454-42ba-89d4-728f51c4c4c1.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=656/20260708_014700_00665_yxnpm-9eea18a8-49f2-481a-98f9-55a153db53d9.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=656/20260708_014700_00665_yxnpm-9eea18a8-49f2-481a-98f9-55a153db53d9.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=824/20260708_014801_00840_yxnpm-023b4f67-70a7-4035-bc99-3aa959f25e97.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=824/20260708_014801_00840_yxnpm-023b4f67-70a7-4035-bc99-3aa959f25e97.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 3) Error encountered attempting to delete file
